,LL,LPL,D,LM,ACS,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,SC,IF,IE,UO,IR,DF
LL,-,-,1.0%,1.0%,1.0%,2.0%,-,2.0%,-,1.0%,1.0%,-,2.0%,-,-,-,-,-,-,-,-,-,1.0%,1.0%
LPL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D,-,-,-,1.0%,1.0%,4.0%,1.0%,-,-,1.0%,2.0%,1.0%,1.0%,-,-,-,-,-,-,-,-,-,2.0%,-
LM,-,-,-,-,-,1.0%,-,-,-,-,-,-,2.0%,-,-,-,-,-,-,-,-,-,-,-
ACS,-,-,-,-,-,2.0%,-,-,-,-,-,1.0%,1.0%,-,-,-,-,-,-,-,-,-,1.0%,-
CC,-,-,-,-,-,-,1.0%,-,-,-,-,-,-,1.0%,-,-,-,-,-,-,-,-,3.0%,-
LF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MN,-,1.0%,4.0%,2.0%,2.0%,8.0%,-,-,2.0%,4.0%,4.0%,1.0%,3.0%,2.0%,-,1.0%,-,-,-,-,1.0%,-,5.0%,1.0%
RC,-,-,1.0%,-,-,1.0%,-,-,-,-,1.0%,-,-,1.0%,-,-,-,-,-,-,-,-,1.0%,-
CE,-,-,-,1.0%,1.0%,4.0%,1.0%,-,-,-,1.0%,1.0%,1.0%,1.0%,-,-,-,-,-,-,-,-,2.0%,-
SV,-,-,-,1.0%,1.0%,4.0%,-,-,-,-,-,-,1.0%,1.0%,-,-,-,-,-,-,-,-,3.0%,-
EF,-,-,-,-,-,1.0%,-,-,-,-,-,-,1.0%,-,-,-,-,-,-,-,-,-,1.0%,-
DS,-,-,-,-,-,1.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0%,-
WE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0%,-
UC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OBI,-,-,-,-,-,1.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OVF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DF,-,-,-,-,-,-,-,-,-,-,-,-,1.0%,-,-,-,-,-,-,-,-,-,-,-
