,LL,LPL,D,LM,ACS,CC,LF,MN,DC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,SOC,IF,IE,DO,IR,DF
LL,0%,0%,2%,1%,1%,3%,1%,3%,1%,1%,2%,0%,2%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,1%
LPL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
D,0%,0%,0%,1%,2%,6%,1%,6%,0%,0%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%
LM,0%,0%,0%,0%,1%,2%,0%,2%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
ACS,0%,0%,0%,0%,0%,3%,1%,2%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%
CC,0%,0%,0%,0%,0%,0%,1%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%
LF,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DC,0%,0%,0%,0%,1%,1%,0%,2%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CE,0%,0%,3%,1%,2%,4%,1%,5%,0%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%
SV,0%,0%,0%,1%,2%,5%,1%,4%,0%,0%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%
EF,0%,0%,0%,1%,1%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
DS,0%,0%,0%,0%,0%,2%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%
WE,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
UC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
UA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
OBI,0%,0%,1%,0%,1%,1%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
OVF,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SOC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IF,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IE,0%,0%,0%,0%,0%,1%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DO,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IR,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DF,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
